title,price,reviews,stars
"Schylling NeeDoh Nice Cube - Sensory Squeeze Toy with Super Solid Squish - 2.25"" Cube - Color May Vary (Pack of 1)",$9.50,5857 ratings,4.14.1 out of 5 stars
SHASHIBO Shape Shifting Box - Award-Winning Patented Fidget Cube w/ 36 Rare Earth Magnets - Transforms Into Over 70 Shapes Download Fun in Motion Toys Mobile App (Original Series - Spaced Out),$24.99,60513 ratings,4.64.6 out of 5 stars
Taco vs Burrito - The Wildly Popular Surprisingly Strategic Card Game Created by a 7 Year Old,$19.99,26277 ratings,4.54.5 out of 5 stars
Paint Your Own Cat Lamp Kit Art Supplies Arts & Crafts Kit Painting kit for Kids 6-12 Arts and Crafts for Kids Ages 8-12 Toys Girls Boy Birthday Christmas Gift Ages 3 4 5 6 7 8 9 10 11 12+,$12.99,551 ratings,4.34.3 out of 5 stars
Original with App Used by Celebrities - MMA Gear Boxing Ball - Boxing Reflex Ball with Adjustable Strap - Interactive Boxball App Integration - 1 Pack,$29.99,2464 ratings,3.93.9 out of 5 stars
AI Hand Warmers Rechargeable 2 Pack 6000mAh Electric Hand Warmers AI Smart Chips 20Hrs Long Safe Heat Portable Pocket Heater Gifts for Christmas Outdoor Golf Hunting Camping Accessories,$25.99,2632 ratings,4.64.6 out of 5 stars
Callaway Golf Supersoft 2023 Golf Balls,$21.98,8257 ratings,4.84.8 out of 5 stars
AI Hand Warmers Rechargeable 2 Pack AI Temperature Control Pocket Size Electric Handwarmers Quick Charge Portable Hand Warmer Great Gift for Christmas Outdoors Hunting Golf Camping,$19.99,6447 ratings,4.54.5 out of 5 stars
Amazon Basics High Density Foam Roller for Exercise and Recovery,$11.99,111494 ratings,4.64.6 out of 5 stars
"SecuCaptain Emergency Fire Blanket for Home and Kitchen - 2 Pack 40""x40"" Flame Suppression Fiberglass Fire Blankets for House Camping Car Office Warehouse Emergency Survival Safety",$17.99,3770 ratings,4.84.8 out of 5 stars
Hanes EcoSmart Fleece Cotton-Blend Pullover Crewneck Sweatshirt for Men (1 Or 2 Pack),$8.00,148874 ratings,4.64.6 out of 5 stars
Fruit of the Loom Men's Eversoft Fleece Sweatshirts Moisture Wicking & Breathable Crewneck Sweatshirt,$8.99,23575 ratings,4.64.6 out of 5 stars
TRENDOUX Winter Gloves for Men Women - Upgraded Touch Screen Cold Weather Thermal Warm Knit Glove for Running Driving Hiking,$9.99,67915 ratings,4.34.3 out of 5 stars
Under Armour Men's Tech Golf Polo,$21.81,59401 ratings,4.74.7 out of 5 stars
Carhartt Men's Rain Defender Loose Fit Heavyweight Quarter-Zip Sweatshirt,$64.99,21861 ratings,4.84.8 out of 5 stars
Fruit of the Loom Men's Eversoft Fleece Hoodies Moisture Wicking & Breathable Full Zip Hooded Sweatshirt,$11.24,39724 ratings,4.64.6 out of 5 stars
Sol de Janeiro Hair & Body Fragrance Mist Travel Size 90mL/3.0 fl oz.,$25.00,42785 ratings,4.54.5 out of 5 stars
Burt's Bees Christmas Gifts 5 Stocking Stuffers Products Everyday Essentials Set - Original Beeswax Lip Balm Deep Cleansing Cream Hand Salve Body Lotion & Coconut Foot Cream Travel Size,$14.24,85492 ratings,4.74.7 out of 5 stars
e.l.f. Glow Reviver Lip Oil Nourishing Tinted Lip Oil For A High-shine Finish Infused With Jojoba Oil Vegan & Cruelty-free Pink Quartz,$8.00,8073 ratings,4.64.6 out of 5 stars
e.l.f. Monochromatic Multi Stick Luxuriously Creamy & Blendable Color For Eyes Lips & Cheeks Dazzling Peony 0.17 Oz,$5.00,70826 ratings,4.34.3 out of 5 stars
eos Shea Better Body Lotion- Vanilla Cashmere 24-Hour Moisture Skin Care Lightweight & Non-Greasy Made with Natural Shea Vegan 16 fl oz,$8.98,27059 ratings,4.74.7 out of 5 stars
Lip Smacker Coca-Cola Flavored Balm 8 Count Flavors Coke Cherry Vanilla Sprite Root Beer Orange Fanta Grape Strawberry Fanta,$8.15,34477 ratings,4.84.8 out of 5 stars
Neutrogena Makeup Remover Wipes Individually Wrapped Daily Face Wipes for Waterproof Makeup Travel & On-the-Go Singles 20 Count,$6.88,63141 ratings,4.84.8 out of 5 stars
Anker iPhone 16 Charger USB C Charger Block 2-Pack 20W Fast Wall Charger for 16/16 Pro/Pro Max / iPad Pro and More with 2 Pack 5 ft USB-C Cable,$18.99,6646 ratings,4.74.7 out of 5 stars
Metapen Pencil A8 for Apple iPad 2018-2024 (2X Faster Charge) Tilt Sensitivity Palm Rejection Stylus Pen for iPad 10/9/8/7/6th Gen iPad Pro 12.9/11/13-inch M4 iPad Air 3/4/5/M2 iPad Mini 5/6th,$15.99,22233 ratings,4.44.4 out of 5 stars
"Stylus Pen for iPad 13 mins Fast Charge for Apple iPad Pencil with Palm Rejection Tilt Sensitivity Work for 2018-2024 iPad Air 3/4/5/M2 iPad Mini 5/6 iPad 6/7/8/9/10 iPad Pro 11""/12.9""/M4",$19.99,5654 ratings,4.64.6 out of 5 stars
Memoking Print Pods Mini Printer - Sticker Printer T02 Portable Thermal Printer Inkless Sticker Maker Machine Bluetooth Pocket Printer Phone Printer for Study Graphics Anatomical Diagrams Photos,$42.99,4365 ratings,4.14.1 out of 5 stars
Apple Pencil (2nd Generation): Pixel-Perfect Precision and Industry-Leading Low Latency Perfect for Note-Taking Drawing and Signing documents. Attaches Charges and Pairs magnetically.,$124.00,92201 ratings,4.74.7 out of 5 stars
Phomemo Sticker Printer- Mini Printer M02 Print Pod Thermal Printer Sticker Maker Inkless Pocket Printer Bluetooth Printer for Learning Assistance Study Notes Photos Work Receipts,$36.98,7728 ratings,4.34.3 out of 5 stars
Stop Itching by Kaley Cuoco All-Natural Itch Relief Supplement for Dogs Vet Nutritionist Approvedfor All Life Stages and Breeds 1 Fl Oz,$28.00,72 ratings,4.24.2 out of 5 stars
Nespresso Capsules Vertuo Barista Flavored Pack Medium Roast Coffee 30 Count Coffee Pods Brews 7.8oz.,$37.50,50694 ratings,4.74.7 out of 5 stars
The Original Donut Shop Regular Keurig Single-Serve K-Cup Pods Medium Roast Coffee 12 Count (Pack of 6) Total 72 Count,$35.09,78469 ratings,4.74.7 out of 5 stars
Nestle Coffee mate Coffee Creamer Original Liquid Creamer Singles Non Dairy No Refrigeration 0.375 fl oz Tubs (Pack of 180),$12.99,44088 ratings,4.64.6 out of 5 stars
CELSIUS® On-the-Go Powder Sticks Dragonfruit Lime Essential Energy 2.8 Oz (14 Sticks per Pack),$11.24,28251 ratings,4.64.6 out of 5 stars
Red Bull Energy Drink with 80mg Caffeine plus Taurine & B Vitamins 8.4 Fl Oz Pack of 24 Cans,$37.99,9961 ratings,4.74.7 out of 5 stars
8 Pack Floating Shelf Brackets 6 Inch Heavy Duty Industrial Shelf Bracket Black Metal L Brackets for Shelves Support DIY(1/5 Inch Thicked),$27.98,1558 ratings,4.54.5 out of 5 stars
Kidde Fire Extinguisher for Home 1-A:10-B:C Dry Chemical Extinguisher Red Mounting Bracket Included 2 Pack,$40.06,23745 ratings,4.74.7 out of 5 stars
Key Holder for Wall Decorative Key and Mail Holder with Shelf Has Large Hooks for Bags Coats Umbrella – Paulownia Wood Key Hanger with Mounting Hardware (9.8”W x 6.7”H x 4.2”D),$12.99,4789 ratings,4.64.6 out of 5 stars
Home-it Mop and Broom Holder Wall Mount Garden Tool Storage Tool Rack Storage & Organization for the Home Plastic Hanger for Closet Garage Organizer (5-position),$14.99,40933 ratings,4.54.5 out of 5 stars
GTPLAYER Gaming Chair Computer Chair with Footrest and Lumbar Support Height Adjustable Game Chair with 360°-Swivel Seat and Headrest and for Office or Gaming (White),$76.49,15122 ratings,4.44.4 out of 5 stars
Large RGB Gaming Mouse Pad -15 Light Modes Touch Control Extended Soft Computer Keyboard Mat Non-Slip Rubber Base for Gamer Esports Pros 31.5X11.8 in,$13.99,4449 ratings,4.64.6 out of 5 stars
Gaming Headset for PC Ps4 Ps5 Xbox Headset with 7.1 Surround Sound Gaming Headphones with Noise Cancelling Mic RGB Light Over Ear Headphones for Xbox Series X/S Switch,$25.95,4050 ratings,4.44.4 out of 5 stars
Gaming Headset for PC Ps4 Ps5 Xbox Headset with 7.1 Surround Sound Gaming Headphones with Noise Cancelling Mic RGB Light Over Ear Headphones for Xbox Series X/S Switch,$25.95,4050 ratings,4.44.4 out of 5 stars
"Jekeno Glow in The Dark Gaming Blanket Gamer Game Controller Throw Gift Toys for Kids Boys Teen Son Adults Gamepad Presents Easter Birthday Christmas Bedroom Decor Luminous Blanket Grey 50""x60""",$25.99,3846 ratings,4.64.6 out of 5 stars
Hasbro Gaming Connect 4 Classic Grid4 in a Row GameStrategy Board Games for Kids2 Player .for Family and KidsAges 6 and Up,$9.95,77162 ratings,4.84.8 out of 5 stars
Hasbro Gaming Connect 4 Classic Grid4 in a Row GameStrategy Board Games for Kids2 Player .for Family and KidsAges 6 and Up,$9.95,77162 ratings,4.84.8 out of 5 stars
Sceptre 30-inch Curved Gaming Monitor 21:9 2560x1080 Ultra Wide/ Slim HDMI DisplayPort up to 200Hz Build-in Speakers Metal Black (C305B-200UN1),$169.97,12041 ratings,4.54.5 out of 5 stars
ASUS ROG Strix G16 (2024) Gaming Laptop 16” 16:10 FHD 165Hz Display NVIDIA® GeForce RTX™ 4060 Intel Core i7-13650HX 16GB DDR5 1TB PCIe Gen4 SSD Wi-Fi 6E Windows 11 G614JV-AS74,$1280.48,1504 ratings,4.34.3 out of 5 stars
